150 198
1 2 7111
2 3 6596
3 4 347
4 5 4687
5 6 1700
6 7 849
7 8 888
8 9 873
9 10 2652
10 11 2306
11 12 9949
12 13 3863
13 14 8684
14 15 3154
15 16 4107
16 17 5936
17 18 994
18 19 4096
19 20 2585
20 21 6487
21 22 593
22 23 7411
23 24 1660
24 25 9206
25 26 1610
26 27 7334
27 28 8433
28 29 3015
29 30 3613
30 31 2454
31 32 543
32 33 7995
33 34 2935
34 35 7165
35 36 757
36 37 4101
37 38 5287
38 39 110
39 40 2735
40 41 620
41 42 8535
42 43 87
43 44 9064
44 45 1048
45 46 7242
46 47 1254
47 48 5722
48 49 368
49 50 6805
50 51 4726
51 52 911
52 53 5637
53 54 9117
54 55 3659
55 56 3171
56 57 7629
57 58 9151
58 59 4086
59 60 3671
60 61 2970
61 62 3196
62 63 5488
63 64 2500
64 65 2563
65 66 4874
66 67 5327
67 68 5862
68 69 4047
69 70 1037
70 71 8512
71 72 3137
72 73 9669
73 74 4957
74 75 1416
75 76 6106
76 77 6703
77 78 3465
78 79 5606
79 80 6062
80 81 7286
81 82 3876
82 83 2468
83 84 2336
84 85 8379
85 86 2291
86 87 240
87 88 228
88 89 9107
89 90 5525
90 91 9130
91 92 2488
92 93 9907
93 94 9941
94 95 9788
95 96 988
96 97 2777
97 98 8488
98 99 4595
99 100 5549
100 101 784
101 102 3572
102 103 8641
103 104 497
104 105 8896
105 106 4144
106 107 9870
107 108 9252
108 109 8715
109 110 2359
110 111 2284
111 112 9919
112 113 1371
113 114 79
114 115 2750
115 116 4121
116 117 9115
117 118 5462
118 119 2173
119 120 8925
120 121 3788
121 122 7773
122 123 4768
123 124 6050
124 125 405
125 126 7689
126 127 9122
127 128 5433
128 129 5528
129 130 101
130 131 783
131 132 2598
132 133 1053
133 134 2745
134 135 2099
135 136 910
136 137 2209
137 138 385
138 139 3751
139 140 6954
140 141 3960
141 142 2710
142 143 5561
143 144 6576
144 145 5100
145 146 5075
146 147 818
147 148 6723
148 149 2049
149 150 6890
3 117 7826
6 122 323
9 52 9197
10 127 7901
11 99 5400
15 44 2755
16 55 623
17 87 1894
18 81 4747
19 32 4064
20 108 4658
24 97 2957
26 44 241
27 94 5110
29 107 7178
31 109 5930
32 82 5938
38 56 828
40 117 5020
43 135 1079
45 53 8141
48 130 8903
53 143 5741
56 68 226
60 100 206
64 113 3307
65 136 5431
66 81 2648
67 119 8130
81 87 6384
82 112 1481
86 135 2533
93 134 9214
95 112 8832
97 123 3313
99 150 3678
101 143 274
111 145 6314
113 140 8482
117 133 1053
120 128 7939
124 140 986
126 140 1152
134 150 4941
140 149 5065
141 144 8198
142 150 3805
143 150 8201
144 146 6026
